case_number,job_title,worksite_city,worksite_state,worksite_postal_code,violentcrimesperpop,cost_of_living_2020,missing_crime_data,case_status
I-200-22158-254100,Principal Tech Business Developer,MIAMI,FL,33131,3829.21,1.116,0,Certified
I-200-23161-098310,Software Developer,RICHARDSON,TX,75080,272.13,0.971,0,Certified
I-200-23276-408240,Assistant Vice President; Quantitative Finance Analyst,JERSEY CITY,NJ,07310,162.1,1.804,1,Certified
I-200-23339-543967,"Group Director, Software Engineering",SUNNYVALE,CA,94086,249.62,1.681,0,Certified
I-200-22138-186223,Strategic Analyst ,SAN DIEGO,CA,92121,327.36,1.35,1,Certified
I-200-23349-569544,"Senior Principal Engineer, Systems Engineering",ROCKFORD,IL,61125,599.78,0.9319999999999999,1,Certified
I-200-20164-647917,"Sr. Mechanical Design Engineer, Chassis",PHOENIX,AZ,85040,1097.07,1.051,0,Certified
I-200-23026-729190,Sr Java Developer,AUSTIN,TX,78701,599.78,1.023,0,Certified
I-200-22060-938346,Price Yield Analyst ,BALTIMORE,MD,21224,3081.26,1.109,0,Certified
I-200-21068-132376,Senior Associate Technology L2,NEW YORK,NY,10014,1171.84,1.804,1,Denied
I-200-20317-910311,Software Engineer II,SAN FRANCISCO,CA,94103,327.36,1.861,1,Certified
I-203-23325-516693,ACCOUNT MANAGER,NEW YORK,NY,10036,1171.84,1.804,1,Certified
I-200-24187-176930,Lecturer,WASHINGTON,DC,20059,3048.38,1.561,0,Certified
I-200-20127-546010,Risk Management Specialists - KBGFJG10230-11,ISELIN,NJ,08830,162.1,1.226,1,Certified
I-200-23199-197085,DevOps Engineer ,MINNEAPOLIS,MN,55401,1811.81,1.151,0,Certified
I-200-21118-267068,Data Analyst,COLLIERVILLE,TN,38017,1633.81,0.833,1,Certified
I-200-21357-785755,Postdoctoral Scholar ,CORVALLIS,OR,97333,220.96,1.023,0,Certified
I-200-24134-986060,Senior Developer,RAYNHAM,MA,02767,1968.89,1.38,1,Certified
I-200-22042-895987,Application Engineer (58836),ATLANTA,GA,30309,4026.59,1.003,0,Certified
I-200-21063-120184,PROJECT MANAGER,CHARLESTON,SC,29492,1283.7,1.018,0,Certified
I-200-24092-842932,CIVIL ENGINEER,CARMEL,IN,46290,123.07,0.945,0,Certified
I-200-23158-085629,Computer and Information Systems Managers - KBGFJG178877-3,CHICAGO,IL,60607,599.78,1.15,1,Certified
I-200-20184-692355,Senior Accountant,WALTHAM,MA,02451,455.62,1.51,0,Certified
I-200-23226-262872,Application Developer Sr. ,TAYLOR,TX,76574,736.96,0.909,0,Certified
I-200-24100-867715,DevOps Engineer,INVERNESS,FL,34452,3235.45,0.948,1,Certified
I-200-21351-773567,AF Process Automation & Technology Analyst ,MADISON,WI,53783,321.68,1.066,0,Certified
I-200-24113-910724,Business Architecture Associate Manager,WILTON,CT,06897,599.78,1.349,1,Certified
I-200-22067-959742,Senior Customer Experience Analyst,MORRISVILLE,NC,27605,1787.2,1.051,1,Certified
I-200-22292-539530,Oracle Database Administrator,AKRON,OH,44333,1118.78,0.915,1,Certified
I-200-24119-933228,Junior Architectural Designer,CHICAGO,IL,60642,599.78,1.15,1,Certified
I-200-23130-011227,ARCHITECT,RICHFIELD,MN,55423,1811.81,1.151,1,Certified
I-200-22244-451936,Data Scientist,CHICAGO,IL,60605,599.78,1.15,1,Certified
I-200-20351-964427,Senior Software Engineer - Full Stack ,CHARLOTTE,NC,28217,1787.2,1.018,0,Certified
I-200-24025-666032,STAFF SOFTWARE ENGINEER,ATLANTA,GA,30308,4026.59,1.003,0,Certified
I-200-23254-335043,Biostatistician,CINCINNATI,OH,45229,1562.48,0.894,0,Certified
I-200-20050-333705,Software Engineer in Test I,FRISCO,TX,75034,599.78,0.964,1,Certified
I-200-20309-897806,Lead Software Developer,GLEN ALLEN,VA,23059,1135.5,0.954,1,Certified
I-200-23089-889309,Software Engineer,SUNNYVALE,CA,94086,249.62,1.681,0,Certified
I-200-22094-033112,Software Engineer,SANTA CLARA,CA,95051,327.36,1.681,1,Certified
